Date,Open,High,Low,Close,Volume
2024-05-08,77.8,78.1,76.13,76.15,11925252
2024-05-09,76.15,80.38,75.61,80.37,7046366
2024-05-10,80.37,80.89,80.26,80.35,8717365
2024-05-13,80.35,80.62,79.37,79.64,12466709
2024-05-14,79.64,79.93,79.34,79.47,10385859
2024-05-15,79.47,79.64,78.11,78.36,9872794
2024-05-16,78.36,81.19,77.96,81.0,6017866
2024-05-17,81.0,81.42,80.12,80.41,8005243
2024-05-20,80.41,80.61,78.17,78.39,5690287
2024-05-21,78.39,78.48,76.6,77.34,8901907
2024-05-22,77.34,77.97,76.98,77.77,9528601
2024-05-23,77.77,78.0,76.56,76.8,4209816
2024-05-24,76.8,77.02,76.3,76.32,8527816
2024-05-27,76.32,76.91,76.24,76.51,7212519
2024-05-28,76.51,76.76,74.27,74.45,11627023
2024-05-29,74.45,74.46,73.2,73.22,7780972
2024-05-30,73.22,73.96,72.93,73.36,9633014
2024-05-31,73.36,76.3,73.25,75.51,7909642
2024-06-03,75.51,76.33,74.9,75.65,9214419
2024-06-04,75.65,76.55,72.41,73.12,4545578
2024-06-05,73.12,75.46,73.04,75.16,5091218
2024-06-06,75.16,76.77,74.7,76.38,5517236
2024-06-07,76.38,76.42,75.11,75.12,11561725
2024-06-10,75.12,75.88,74.92,75.46,6568040
2024-06-11,75.46,77.02,75.42,76.89,10174018
2024-06-12,76.89,76.94,76.0,76.06,11820453
2024-06-13,76.06,76.18,75.63,76.0,9715130
2024-06-14,76.0,76.12,74.39,75.06,10607967
2024-06-17,75.06,75.33,72.41,72.78,4663823
2024-06-18,72.78,72.81,72.41,72.76,11357332
2024-06-19,72.76,76.27,72.25,75.58,10020580
2024-06-20,75.58,75.72,73.3,73.35,9729625
2024-06-21,73.35,73.38,72.8,73.07,11230903
2024-06-24,73.07,73.19,72.12,72.3,8265808
2024-06-25,72.3,72.36,71.77,72.12,9991031
2024-06-26,72.12,74.88,71.86,74.79,10095169
2024-06-27,74.79,76.69,74.72,76.58,10160018
2024-06-28,76.58,77.16,76.57,76.82,3278961
